action,state_i-1,state_i,prob
0,2,2,3.593079e-01
0,2,3,1.148579e-01
0,2,4,3.726946e-01
0,2,5,1.118205e-01
0,2,6,3.463261e-02
0,2,7,6.686446e-03
0,3,2,4.447894e-02
0,3,3,2.763036e-01
0,3,4,2.878003e-01
0,3,5,3.167198e-01
0,3,6,6.925965e-02
0,3,7,5.437641e-03
0,4,2,1.505114e-02
0,4,3,7.512787e-02
0,4,4,3.835287e-01
0,4,5,3.564702e-01
0,4,6,1.671633e-01
0,4,7,2.658732e-03
0,5,2,4.434324e-03
0,5,3,5.006709e-02
0,5,4,3.434825e-01
0,5,5,4.261783e-01
0,5,6,1.726427e-01
0,5,7,3.195117e-03
0,6,2,4.955156e-03
0,6,3,1.158101e-02
0,6,4,4.116323e-01
0,6,5,4.091185e-01
0,6,6,1.521349e-01
0,6,7,1.057814e-02
0,7,2,3.001242e-02
0,7,3,5.973384e-02
0,7,4,2.447629e-01
0,7,5,4.461140e-01
0,7,6,2.047503e-01
0,7,7,1.462650e-02
1,2,2,1.364905e-01
1,2,3,1.548028e-01
1,2,4,5.023089e-01
1,2,5,1.507090e-01
1,2,6,4.667701e-02
1,2,7,9.011833e-03
1,3,2,1.739331e-01
1,3,3,3.194278e-01
1,3,4,2.014915e-01
1,3,5,2.304220e-01
1,3,6,6.928587e-02
1,3,7,5.439699e-03
1,4,2,2.402110e-02
1,4,3,1.199015e-01
1,4,4,2.981815e-01
1,4,5,4.733083e-01
1,4,6,8.034438e-02
1,4,7,4.243245e-03
1,5,2,6.657207e-03
1,5,3,1.883606e-01
1,5,4,1.079624e-01
1,5,5,4.817619e-01
1,5,6,2.104611e-01
1,5,7,4.796798e-03
1,6,2,6.613262e-03
1,6,3,1.545627e-02
1,6,4,3.877821e-01
1,6,5,3.729880e-01
1,6,6,2.030426e-01
1,6,7,1.411781e-02
1,7,2,3.001242e-02
1,7,3,5.973384e-02
1,7,4,2.447629e-01
1,7,5,4.461140e-01
1,7,6,2.047503e-01
1,7,7,1.462650e-02
2,2,2,1.364905e-01
2,2,3,1.548028e-01
2,2,4,5.023089e-01
2,2,5,1.507090e-01
2,2,6,4.667701e-02
2,2,7,9.011833e-03
2,3,2,6.003812e-02
2,3,3,2.563540e-01
2,3,4,2.718724e-01
2,3,5,3.109083e-01
2,3,6,9.348737e-02
2,3,7,7.339782e-03
2,4,2,2.245539e-01
2,4,3,1.172566e-01
2,4,4,2.273120e-01
2,4,5,3.786601e-01
2,4,6,4.959798e-02
2,4,7,2.619429e-03
2,5,2,6.664731e-03
2,5,3,5.898991e-02
2,5,4,1.080844e-01
2,5,5,3.527228e-01
2,5,6,4.687360e-01
2,5,7,4.802219e-03
2,6,2,8.913197e-03
2,6,3,2.083159e-02
2,6,4,1.748673e-01
2,6,5,5.027043e-01
2,6,6,2.736560e-01
2,6,7,1.902765e-02
2,7,2,3.001242e-02
2,7,3,5.973384e-02
2,7,4,2.447629e-01
2,7,5,4.461140e-01
2,7,6,2.047503e-01
2,7,7,1.462650e-02
3,2,2,6.188947e-02
3,2,3,1.576431e-01
3,2,4,7.149193e-01
3,2,5,4.786238e-02
3,2,6,1.482375e-02
3,2,7,2.861990e-03
3,3,2,4.942781e-03
3,3,3,1.509641e-01
3,3,4,7.973715e-01
3,3,5,3.521466e-02
3,3,6,1.090270e-02
3,3,7,6.042650e-04
3,4,2,2.390286e-03
3,4,3,2.994769e-02
3,4,4,8.333561e-01
3,4,5,1.248623e-01
3,4,6,9.021415e-03
3,4,7,4.222358e-04
3,5,2,6.957943e-04
3,5,3,8.331825e-03
3,5,4,7.238109e-01
3,5,5,2.370567e-01
3,5,6,2.960344e-02
3,5,7,5.013491e-04
3,6,2,1.714449e-03
3,6,3,4.006946e-03
3,6,4,7.320071e-01
3,6,5,1.794974e-01
3,6,6,7.911418e-02
3,6,7,3.659959e-03
3,7,2,2.224296e-02
3,7,3,4.427027e-02
3,7,4,3.108373e-01
3,7,5,3.306264e-01
3,7,6,2.811830e-01
3,7,7,1.084007e-02
4,2,2,1.012709e-01
4,2,3,1.148579e-01
4,2,4,6.307316e-01
4,2,5,1.118205e-01
4,2,6,3.463261e-02
4,2,7,6.686446e-03
4,3,2,9.912976e-03
4,3,3,4.232697e-02
4,3,4,8.797779e-01
4,3,5,5.133449e-02
4,3,6,1.543583e-02
4,3,7,1.211881e-03
4,4,2,2.113601e-04
4,4,3,1.055006e-03
4,4,4,9.922880e-01
4,4,5,5.701341e-03
4,4,6,7.069451e-04
4,4,7,3.733604e-05
4,5,2,5.330714e-04
4,5,3,9.911922e-03
4,5,4,9.389125e-01
4,5,5,3.340583e-02
4,5,6,1.685253e-02
4,5,7,3.841004e-04
4,6,2,2.647475e-03
4,6,3,6.187580e-03
4,6,4,7.549120e-01
4,6,5,1.493176e-01
4,6,6,8.128366e-02
4,6,7,5.651758e-03
4,7,2,3.001242e-02
4,7,3,5.973384e-02
4,7,4,2.447629e-01
4,7,5,4.461140e-01
4,7,6,2.047503e-01
4,7,7,1.462650e-02
5,2,2,1.364905e-01
5,2,3,1.548028e-01
5,2,4,5.023089e-01
5,2,5,1.507090e-01
5,2,6,4.667701e-02
5,2,7,9.011833e-03
5,3,2,4.449578e-02
5,3,3,1.899905e-01
5,3,4,3.309289e-01
5,3,5,3.598593e-01
5,3,6,6.928587e-02
5,3,7,5.439699e-03
5,4,2,1.349246e-02
5,4,3,9.420902e-02
5,4,4,4.983490e-01
5,4,5,3.374836e-01
5,4,6,5.408256e-02
5,4,7,2.383396e-03
5,5,2,1.232037e-03
5,5,3,1.411096e-02
5,5,4,4.525243e-01
5,5,5,4.671261e-01
5,5,6,6.411886e-02
5,5,7,8.877346e-04
5,6,2,2.115402e-03
5,6,3,4.944039e-03
5,6,4,4.360735e-01
5,6,5,4.161490e-01
5,6,6,1.362022e-01
5,6,7,4.515903e-03
5,7,2,1.484470e-02
5,7,3,2.954548e-02
5,7,4,1.210643e-01
5,7,5,7.260376e-01
5,7,6,1.012734e-01
5,7,7,7.234542e-03
6,2,2,5.066050e-02
6,2,3,5.745738e-02
6,2,4,2.512634e-01
6,2,5,6.199490e-01
6,2,6,1.732488e-02
6,2,7,3.344878e-03
6,3,2,1.136926e-01
6,3,3,7.735124e-02
6,3,4,1.586829e-01
6,3,5,6.242902e-01
6,3,6,2.409167e-02
6,3,7,1.891460e-03
6,4,2,1.089998e-02
6,4,3,4.886255e-02
6,4,4,1.776211e-01
6,4,5,6.722468e-01
6,4,6,8.903482e-02
6,4,7,1.334754e-03
6,5,2,2.174574e-03
6,5,3,2.615974e-02
6,5,4,9.935892e-02
6,5,5,6.326746e-01
6,5,6,2.370778e-01
6,5,7,2.554367e-03
6,6,2,2.671217e-03
6,6,3,6.243071e-03
6,6,4,1.004845e-01
6,6,5,3.222529e-01
6,6,6,5.476505e-01
6,6,7,2.069792e-02
6,7,2,2.226810e-02
6,7,3,4.432030e-02
6,7,4,1.816050e-01
6,7,5,3.310001e-01
6,7,6,4.099542e-01
6,7,7,1.085232e-02
7,2,2,3.325214e-01
7,2,3,1.436363e-01
7,2,4,4.014987e-01
7,2,5,8.933374e-02
7,2,6,2.766810e-02
7,2,7,5.341821e-03
7,3,2,8.761720e-02
7,3,3,2.402089e-01
7,3,4,2.535014e-01
7,3,5,3.248252e-01
7,3,6,8.983079e-02
7,3,7,4.016544e-03
7,4,2,1.769251e-02
7,4,3,2.140259e-01
7,4,4,2.039854e-01
7,4,5,4.489288e-01
7,4,6,1.141703e-01
7,4,7,1.197105e-03
7,5,2,4.161143e-03
7,5,3,7.402574e-02
7,5,4,1.814049e-01
7,5,5,4.992240e-01
7,5,6,2.378872e-01
7,5,7,3.296955e-03
7,6,2,3.579318e-03
7,6,3,1.276696e-02
7,6,4,1.474732e-01
7,6,5,3.519738e-01
7,6,6,4.677626e-01
7,6,7,1.644405e-02
7,7,2,3.001242e-02
7,7,3,5.973384e-02
7,7,4,2.447629e-01
7,7,5,4.461140e-01
7,7,6,2.047503e-01
7,7,7,1.462650e-02
