exchgID,da,theme,UI,utterance
000_S,change_theme,旅行,-, *** これから旅行の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_x_1,旅行,-, 旅行に行くときはなにか目的はありますか？
001_U,-,-,4.0,美味しいもの食べることですかね
002_S,qs_x_3,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
002_U,-,-,5.0,場所は知ってますが，人気なのは知りませんでした
003_S,re_x_3,旅行,-, もう少し詳しく教えていただいていいですか。
003_U,-,-,4.0,最近人気なことは知りませんでした
004_S,qs_x_1,旅行,-, ほかには、ありますか？
004_U,-,-,4.0,なにがですか？
005_S,qs_x_3,旅行,-, 「温泉」などリフレッシュするためにいきますか？
005_U,-,-,4.0,温泉は行きたいと思うけれど行けてないです
006_S,qs_x_1,旅行,-, ほかには何か面白いことはありましたか？
006_U,-,-,4.0,一人旅はなかなか楽しかったです
007_S,qs_x_1,旅行,-, 旅行はどこに行ったことがありますか？
007_U,-,-,5.0,そのときは九州に行きました
008_S,io_1,旅行,-, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
008_U,-,-,5.0,だいたい美味しいもの目当てです
009_S,re_o_1,旅行,-, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
009_U,-,-,5.0,ぜひしてみてください
