旅行,スポーツ,音楽,食事,default,depend_word,nod_word,thank_word,questionmark,lenS,UI3average
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31.869230769230768,5.064615384615385
0.0,0.058333333333333334,0.03333333333333333,0.03333333333333333,0.875,0.0,1.0,0.002777777777777778,0.0,12.61111111111111,4.167222222222223
0.06756756756756757,0.1554054054054054,0.060810810810810814,0.12837837837837837,0.5878378378378378,0.04054054054054054,0.0,0.0,0.0,23.75,4.414864864864866
0.0,0.17857142857142858,0.15476190476190477,0.19642857142857142,0.47023809523809523,1.0,0.0,0.0,1.0,24.898809523809526,5.116666666666667
0.27419354838709675,0.0,0.0,0.1774193548387097,0.5483870967741935,1.0,1.0,0.0,0.0,20.596774193548388,4.522580645161289
0.19607843137254902,0.0,0.0,0.0,0.803921568627451,0.0,0.0,1.0,0.0,15.568627450980392,4.074509803921568
0.0,0.7481481481481481,0.0,0.0,0.2518518518518518,0.0,0.0,0.0,1.0,26.2,4.807407407407407
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.511111111111113,4.82
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.025974025974026,4.735064935064934
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9428571428571428,27.814285714285713,5.202857142857143
