exchgID,speaker,class,theme,UI3,utterance
000,S,qs_d_o,default,-, 具体的には教えてもらえますか？
000,U,-,-,4.0,なにがですか？
001,S,thank,default,-, ありがとうございました・・
001,U,-,-,3.0,はい
002,S,qs_s_x,音楽,-, 最近音楽は聞きましたか？
002,U,-,-,4.0,音楽はよく聴いてます
003,S,re_d_x,default,-, すごいですね。
003,U,-,-,4.0,はい４
004,S,re_d_x,default,-, そうですね、わかります。
004,U,-,-,4.0,聴いてみてください
005,S,thank,default,-, ありがとうございます。参考にさせていただきます。
005,U,-,-,4.0,はい
006,S,re_s_x,音楽,-, とても楽しそうですね。
006,U,-,-,4.0,楽しい気分にはなりますね
007,S,re_d_x,default,-, なるほど。
007,U,-,-,3.0,はい
008,S,re_d_x,default,-, たのしそうですね。
008,U,-,-,3.0,そうですね
009,S,qs_s_o,音楽,-, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
009,U,-,-,4.0,好きなゲームのBGMとか聞きます
